posterior belief,0.01,0.05,0.1,0.2,0.5,1
0,0,0,0,0,0,0
1,1.02,1.11,1.22,1.49,2.72,7.39
2,2.04,2.21,2.44,2.98,5.44,14.78
3,3.06,3.32,3.66,4.48,8.15,22.17
5,5.1,5.53,6.11,7.46,13.59,36.95
10,10.2,11.05,12.21,14.92,27.18,73.89
25,25.51,27.63,30.54,37.3,67.96,89.85
50,50.99,54.76,59.06,66.48,81.61,93.23
75,75.5,77.38,79.53,83.24,90.8,96.62
90,90.2,90.95,91.81,93.3,96.32,98.65
95,95.1,95.48,95.91,96.65,98.16,99.32
98,98.04,98.19,98.36,98.66,99.26,99.73
99,99.02,99.1,99.18,99.33,99.63,99.86
100,100,100,100,100,100,100
