
Regions;1980-1989;1990-1999;2000-2009;2010-2015;Total
Africa ; 0.3% ; 1.3% ; 1.7% ; 1.0% ; 1.3% 
Asia ; 9.0% ; 10.4% ; 18.2% ; 27.6% ; 15.3% 
Eurasia ; 0.0% ; 0.6% ; 1.0% ; 2.3% ; 0.9% 
Europe ; 22.0% ; 24.5% ; 27.1% ; 22.0% ; 25.2% 
Middle East ; 1.0% ; 2.4% ; 2.7% ; 1.9% ; 2.3% 
Multi Geography ; 0.1% ; 0.0% ; 0.2% ; 0.2% ; 0.1% 
North America ; 4.1% ; 5.6% ; 5.5% ; 4.6% ; 5.2% 
Oceania ; 1.2% ; 2.2% ; 1.9% ; 0.9% ; 1.8% 
South America ;0.5% ; 1.1% ; 1.7% ; 1.7% ; 1.4% 
United States ; 62.9% ; 51.8% ; 40.1% ; 37.9% ; 46.5% 
