name,agency,location,access,sec,range
IAB RDC,Medium,Third-Party,Third-Party,High Security,Limited
IAB JoSuA,Medium,Third-Party,Researcher,Low Security,Limited
IAB SUF,High,Researcher,Researcher,Medium Security,Unrestricted
OLDA,High,Researcher,Researcher,Low Security,Unrestricted
NB-IRDT,Medium,Third-Party,Data Custodian,High Security,Unrestricted
PCRI,Medium,Third-Party,Researcher,Low Security,Limited
Aurora,High,Researcher,Researcher,Low Security,Unrestricted
Stanford-SFUSD,High,Researcher,Researcher,Low Security,Unrestricted
Cape Town,High,Researcher,Researcher,Low Security,Unrestricted
DIME,High,Researcher,Researcher,Low Security,Unrestricted
FSRDC,Medium,Data Provider,Data Custodian,High Security,Unrestricted
NCES,High,Researcher,Researcher,Medium Security,Unrestricted
RTRA,Low,Data Provider,Researcher,Low Security,Highly Restricted
SPN,Low,Third-Party,Third-Party,Medium Security,Unrestricted
