name,agency,location,access,sec,range
NB-IRDT (chapter \@ref(nbirdt)),Medium,Third-Party,Data Custodian,High Security,Limited
IAB RDC (chapter \@ref(iab)),Medium,Data Provider,Third-Party,High Security,Limited
IAB JoSuA (chapter \@ref(iab)),Medium,Third-Party,Researcher,Low Security,Limited
IAB SUF (chapter \@ref(iab)),High,Researcher,Researcher,Medium Security,Unrestricted
OLDA (chapter \@ref(olda)),High,Researcher,Researcher,Low Security,Unrestricted
PCRI <br> (chapter \@ref(pcri)),Medium,Data Provider,Researcher,Low Security,Limited
FSRDC,Medium,Data Provider,Data Custodian,High Security,Unrestricted
RTRA,Low,Data Provider,Researcher,Low Security,Highly Restricted
SPN,Low,Third-Party,Third-Party,Medium Security,Unrestricted
NCES,High,Researcher,Researcher,Medium Security,Unrestricted
Aurora (chapter \@ref(ahc)),High,Researcher,Researcher,Low Security,Unrestricted
Cape Town (chapter \@ref(cct)),High,Researcher,Researcher,Low Security,Unrestricted
DIME (chapter \@ref(dime)),High,Researcher,Researcher,Low Security,Unrestricted
Stanford-SFUSD (chapter \@ref(sfusd)),High,Researcher,Researcher,Low Security,Unrestricted
